name,temp,humidity,clouds,wind,lat,lon,id
Payakumbuh,18.97,92,0,0.75,-0.23,100.63,488
Elat,19.87,98,98,1.49,2.91,11.16,489
Basoko,22.17,89,67,0.99,1.23,23.61,490
Iskateley,5.47,91,38,1.86,67.68,53.15,491
Kasempa,20.67,36,16,1.99,-13.46,25.83,492
Marion,28.83,54,1,4.1,37.73,-88.93,493
George,21.87,41,0,2.7,-15.35,34.83,494
Honjo,20,94,75,1.5,39.38,140.05,495
Ingham,14.77,93,7,0.79,-18.65,146.16,496
Kulhudhuffushi,27.77,80,100,5.6,6.62,73.07,497
Cabedelo,24,94,20,3.1,-6.97,-34.84,498
Talnakh,5,100,20,5,69.49,88.39,499
Portland,17.69,63,40,4.1,43.66,-70.25,500
